mod0,vgsr
36.65,15080
37.29,18221
33.75,3129
32.66,4486
33.37,4564
33.56,1783
36.97,14506
37.52,20472
36.8,15001
33.03,2278
35.02,5934
27.82,322
33.12,2731
37.49,22682
33.74,5308
35.1,4025
34.17,5855
33.38,5218
35.62,8462
34.44,5429
33.78,4593
34.28,4932
33.73,4632
34.17,4686
32.91,3024
33.9,4398
31.7,1638
33.48,5857
35.7,8846
33.86,4958
33.21,3860
32.54,1681
33.53,1468
32.44,1918
33.51,4025
33.09,2416
33.35,2951
31.53,1274
32.58,1861
31.94,1294
35.34,7662
28.32,178
32.36,1317
29.75,963
28.68,180
33.02,2646
32.14,1791
31.59,1712
31.38,2779
34.25,4568
31.14,1808
35.21,8200
32.32,1686
34.63,7314
33.5,6332
28.29,297
32.96,2371
31.8,2246
35.39,7284
36.46,15941
35.22,6554
31.93,2327
27.58,262
32.13,2182
33.65,2620
32.44,2745
34.21,2256
32.42,1044
37.05,19504
35,6851
36.89,16462
34.95,7664
32.58,4877
34.41,5160
35.32,6810
34.45,5570
33.8,4411
33.2,5992
33.7,5259
34.25,5375
34.2,4250
34.09,5526
34.34,5209
34.31,5954
36.31,13416
33.74,4669
33.94,5903
34.07,5208
30.74,1512
35.67,9884
32.9,2010
31.93,2833
34.39,5049
29.07,386
33.87,4190
33.32,4545
34.78,6009
33.82,4397
35.32,7973
34.68,6212
33.48,3385
33.54,3061
35.44,8071
33.65,4462
35.4,7459
35.63,9114
34.51,7407
34.67,5930
32.77,2017
31.87,2313
33.43,3070
36.97,17384
32.5,1978
33.1,2849
31.09,1357
32.69,1296
31.58,1461
33.05,1599
31.56,1233
34.42,5333
33.82,2502
35.98,10046
30.04,767
33.14,2343
30.95,808
35.27,7131
35.11,7167
31.62,848
33.23,898
32.91,2373
30.28,1022
32.84,2581
32.6,2226
31.71,1228
32.25,1528
33,2047
32.72,2673
32.74,2689
37.43,19156
32.45,2642
36.11,10698
35.15,7985
33.47,3014
34.74,5638
32.82,2027
34.61,5367
34.12,4843
35.05,7222
35.2,6385
34.82,5862
34.77,5515
33.23,4586
34.29,4384
32.7,2650
30.86,495
32.82,2029
32.33,2590
35.28,8188
33.2,2790
35.84,8929
26.44,29
24.18,-151
36.18,11258
34.41,4717
33.76,5600
34.54,6106
31.46,1935
31.52,1628
31.43,622
31.82,1843
32.5,784
33.99,4417
29.86,611
32.8,2477
35.53,7143
30.93,1398
33.48,2759
27.92,207
30.88,758
29,2978
30.94,1549
32.29,1893
32.8,1709
32.13,969
31.86,1030
31.22,1311
31.88,1436
31.2,2429
30.98,861
31.28,285
31,538
31.12,391
30.97,1315
31.09,189
30.98,1360
31.21,1216
31.53,1787
35.42,7246
35.38,6374
32.14,1965
33.33,2617
33.23,3568
33.99,4164
35.21,5679
31.7,2239
32.95,1193
33.02,3904
34.26,4900
31.52,1761
35.95,11328
34.46,6708
35.04,5805
33.39,3622
28.59,428
28.64,357
35.89,10346
36.22,15987
34.2,4593
33.55,6058
38.78,46670
29.64,345
28.13,-80
40.09,79038
39.48,66181
39.79,84492
40.32,91617
40.59,105029
42.51,185778
41.36,113765
39.22,57450
25.56,164
32.56,1867
35.09,7067
33.76,2418
31.96,1932
32.02,2034
31.54,2645
32.65,1660
33.1,2529
30.86,1630
31.65,1286
31.8,1127
30.2,865
31.84,1717
29.83,758
28.44,1757
31.4,1840
32.42,2304
31.59,1671
32.71,2109
31.1,1451
24.57,-96
29.42,446
31.06,768
30.78,982
31.54,848
30.64,907
30.84,952
31.3,1016
31.34,853
31.34,928
31.51,933
31.48,975
31.05,1039
31.37,877
31.26,958
32.75,740
31.64,1152
31.41,849
30.34,814
30.15,812
31.31,920
31.11,845
31.11,966
31.34,1063
28.2,275
28.46,375
28.45,396
27.85,172
29.08,296
23.09,-58
36.48,12534
24.35,-194
23.98,-67
34.29,6223
33.35,5276
32.29,2449
34.44,5244
32.83,3371
32.53,2006
36.17,11715
32.53,2272
35.28,5703
31.38,1787
28.69,379
33.6,4637
34.37,5429
34.13,4225
34.02,5405
34.6,5720
33.45,4560
34.61,4468
33.28,5717
34.35,5175
35.19,4930
33.61,3942
34.97,5229
34.03,6133
34,4724
34.63,4704
34.74,6134
34.21,5307
34.17,3370
33.93,5429
33.96,4804
34.61,3943
33.91,6133
33.4,4475
34.04,5270
34.51,3908
34.17,4940
29.7,749
27.62,309
29.21,488
29.65,780
29.22,470
28.49,341
28.24,453
27.92,44
29.43,207
29.13,392
29.91,582
29.01,309
30.11,408
28.33,316
28.75,509
24.45,-120
24.59,-13
24.32,-204
24.34,-171
24.02,-43
24.47,-164
30.24,2155
34.48,5360
32.17,1362
31.23,1368
32.62,2374
32.03,1623
29.95,594
30.7,1449
34.36,5193
34.07,4193
30.48,844
33.41,2500
34.65,5916
31.05,1670
30.8,1493
31.26,1717
32.59,2200
33.88,7104
35.03,7072
29.48,882
31.73,1043
33.02,2001
30.3,434
32.75,1338
32.7,1967
32.36,1368
31.51,1864
32.7,2770
31.93,1246
34.4,6858
34.73,3931
30.66,1121
32.75,1913
34.53,5416
34.95,6634
31.34,1024
29.05,405
33.55,4729
31.34,1291
37,11435
33.28,2606
33.23,2906
29.47,478
31.99,2851
29.69,486
28.74,323
28.52,280
34.05,4500
33.49,5288
33.91,4662
28.4,302
35.45,8100
35.65,6808
29.91,226
36.77,13625
32.33,1101
32.75,2014
34.54,5723
30.05,541
32.03,1143
34.53,6422
31.29,1025
31.27,1469
31.99,1997
31.88,202
29.83,2027
31.38,643
31.28,537
31.48,172
33.81,2510
30.7,76
33.27,2524
32.58,875
29.84,1252
31.01,1528
32.11,1184
31.49,684
32.28,1045
32.98,806
31.73,1061
32.64,2393
31.23,1666
31,-160
30.31,743
31.64,931
32.14,1205
33,1321
32.76,1373
32.49,857
30.24,1623
32.46,682
32.57,1676
32.82,2353
33.3,1198
30.24,2236
30.81,2258
30.73,2292
30.93,511
30.51,1244
33.13,711
30.97,438
31.05,1076
31.88,1373
31.5,1466
28.75,450
30.99,662
32.73,2345
30.84,1570
29.92,1085
31.7,953
31.21,696
35.84,6632
32.64,2418
33.15,2287
30.52,784
27.1,258
35.35,7562
35.3,7064
36.59,12492
34.78,7475
34.86,6806
32.43,2407
34.83,7910
33.58,3235
35.79,8220
34.13,7349
31.42,3055
35.85,8488
31.56,1815
32.23,2263
34.55,4654
34.36,4790
33.47,5800
34.7,6950
32.88,5085
